16
0,000000 958508665733661351208398013918793443581789705837427020641921535058568432063007939536956418664051027054963682730476582249592072305105837443599475234332847573919253707844748305305097414885026627278553760690864128,000000 10,000000
10,000000 40,000000 10,000000
40,000000 10,000000 10,000000
40,000000 40,000000 10,000000
20,000000 20,000000 20,000000
20,000000 30,000000 20,000000
30,000000 20,000000 20,000000
30,000000 30,000000 20,000000
20,000000 20,000000 30,000000
20,000000 30,000000 30,000000
30,000000 20,000000 30,000000
30,000000 30,000000 30,000000
10,000000 10,000000 40,000000
10,000000 40,000000 40,000000
40,000000 10,000000 40,000000
40,000000 40,000000 40,000000
32
55802413 21840
-698407164 1804030726
1 3
2 3
4 5
4 6
5 7
6 7
0 4
1 5
2 6
3 7
12 13
12 14
13 15
14 15
8 9
8 10
9 11
10 11
8 12
9 13
10 14
11 15
0 12
1 13
2 14
3 15
4 8
5 9
6 10
7 11
